2024-04-01 12:01:43.1654 | DEBUG | Microsoft.AspNetCore.Routing.Matching.DfaMatcher | Endpoint 'NlogDemo.Controllers.WeatherForecastController.Division (NlogDemo)' with route pattern 'WeatherForecast/Division' is valid for the request path '/WeatherForecast/Division' 
2024-04-01 12:01:43.1654 | DEBUG | Microsoft.AspNetCore.Routing.EndpointRoutingMiddleware | Request matched endpoint 'NlogDemo.Controllers.WeatherForecastController.Division (NlogDemo)' 
2024-04-01 12:01:43.2062 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of authorization filters (in the following order): None 
2024-04-01 12:01:43.2062 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of resource filters (in the following order): None 
2024-04-01 12:01:43.2217 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of action filters (in the following order): Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter (Order: -3000), Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter (Order: -2000) 
2024-04-01 12:01:43.2217 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of exception filters (in the following order): None 
2024-04-01 12:01:43.2217 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Execution plan of result filters (in the following order): Microsoft.AspNetCore.Mvc.Infrastructure.ClientErrorResultFilter (Order: -2000) 
2024-04-01 12:01:43.2217 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing controller factory for controller NlogDemo.Controllers.WeatherForecastController (NlogDemo) 
2024-04-01 12:01:43.2217 | DEBUG | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executed controller factory for controller NlogDemo.Controllers.WeatherForecastController (NlogDemo) 
2024-04-01 12:01:43.2770 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Attempting to bind parameter 'a' of type 'System.Decimal' ... 
2024-04-01 12:01:43.2770 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DecimalModelBinder | Attempting to bind parameter 'a' of type 'System.Decimal' using the name 'a' in request data ... 
2024-04-01 12:01:43.2770 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.Binders.DecimalModelBinder | Done attempting to bind parameter 'a' of type 'System.Decimal'. 
2024-04-01 12:01:43.2770 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Done attempting to bind parameter 'a' of type 'System.Decimal'. 
2024-04-01 12:01:43.2770 | DEBUG | Microsoft.AspNetCore.Mvc.ModelBinding.ParameterBinder | Attempting to validate the bound parameter 'a' of type 'System.Decimal' ... 
